"","transcript_id","read_count"
"1","SIRV101",400
"2","SIRV102",250
"3","SIRV103",400
"4","SIRV105",1000
"5","SIRV106",400
"6","SIRV107",1000
"7","SIRV108",250
"8","SIRV109",206
"9","SIRV201",250
"10","SIRV202",1000
"11","SIRV203",250
"12","SIRV204",400
"13","SIRV205",206
"14","SIRV206",250
"15","SIRV301",1000
"16","SIRV302",206
"17","SIRV303",400
"18","SIRV304",206
"19","SIRV305",250
"20","SIRV306",250
"21","SIRV307",400
"22","SIRV308",1000
"23","SIRV309",250
"24","SIRV310",206
"25","SIRV311",1000
"26","SIRV403",206
"27","SIRV404",400
"28","SIRV405",206
"29","SIRV406",1000
"30","SIRV408",206
"31","SIRV409",250
"32","SIRV410",1000
"33","SIRV501",250
"34","SIRV502",206
"35","SIRV503",250
"36","SIRV504",250
"37","SIRV505",400
"38","SIRV506",400
"39","SIRV507",206
"40","SIRV508",1000
"41","SIRV509",250
"42","SIRV510",206
"43","SIRV511",206
"44","SIRV512",250
"45","SIRV601",206
"46","SIRV602",1000
"47","SIRV603",206
"48","SIRV604",400
"49","SIRV605",250
"50","SIRV606",250
"51","SIRV607",400
"52","SIRV608",250
"53","SIRV609",400
"54","SIRV610",250
"55","SIRV611",206
"56","SIRV612",1000
"57","SIRV613",400
"58","SIRV614",250
"59","SIRV615",250
"60","SIRV616",1000
"61","SIRV617",400
"62","SIRV618",206
"63","SIRV701",250
"64","SIRV702",206
"65","SIRV703",206
"66","SIRV704",206
"67","SIRV705",400
"68","SIRV706",400
"69","SIRV708",400
